"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Brandon Runnels","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brandon Wahler","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Brenda Allen","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Brenda Ann Diesslin","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Brenda Joyce Jones","Art and Visual Culture; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Brenda L. Mulherin","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Brenda L. Witherspoon","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Brenda O. Daly","English; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Brenna Dixon","English","RATE_MY_PROFESSORS","","","","","","",""
"Brent A. Holland","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Brent E. Kreider","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Brent H. Shanks","Chemical and Biological Engineering; Anson Marston Distinguished Professor in Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brent J. Danielson","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Brent M. Phares","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brent Schipper","Practice, Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Brent T. Bruton","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Brett Ramirez","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brett Vanveller","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
